Deadline [s], Deadline [min], Reneging Rate r, MEC, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 1.0697, 1.0296, 0.0043, 0.9669, 1.0923, OK
13800, 230, 0.0043, 1.0440, 1.0609, 0.0066, 0.9836, 1.1382, OK
4500, 75, 0.0133, 1.9371, 1.9628, 0.0218, 1.8221, 2.1034, OK
3300, 55, 0.0182, 2.2009, 2.1737, 0.0365, 1.9916, 2.3558, OK
5400, 90, 0.0111, 1.6827, 1.6375, 0.0265, 1.4822, 1.7928, OK
3900, 65, 0.0154, 2.1074, 2.1269, 0.0831, 1.8521, 2.4018, OK
9600, 160, 0.0063, 1.2196, 1.1446, 0.0171, 1.0201, 1.2691, OK
9000, 150, 0.0067, 1.3325, 1.3176, 0.0129, 1.2091, 1.4260, OK
15600, 260, 0.0038, 0.9840, 0.9821, 0.0077, 0.8983, 1.0660, OK
18000, 300, 0.0033, 0.8972, 0.8759, 0.0037, 0.8175, 0.9343, OK
2700, 45, 0.0222, 2.4517, 2.4586, 0.0443, 2.2580, 2.6592, OK
11400, 190, 0.0053, 1.0782, 1.0830, 0.0075, 1.0004, 1.1657, OK
7200, 120, 0.0083, 1.4618, 1.4633, 0.0101, 1.3675, 1.5591, OK
6600, 110, 0.0091, 1.5603, 1.5991, 0.0171, 1.4744, 1.7237, OK
16800, 280, 0.0036, 0.9106, 0.9097, 0.0017, 0.8704, 0.9490, OK
12000, 200, 0.0050, 1.0799, 1.0866, 0.0014, 1.0508, 1.1224, OK
3600, 60, 0.0167, 2.0865, 2.0175, 0.0103, 1.9205, 2.1144, OK
5700, 95, 0.0105, 1.6582, 1.6871, 0.0258, 1.5340, 1.8402, OK
2400, 40, 0.0250, 2.7338, 2.7005, 0.0662, 2.4551, 2.9459, OK
16200, 270, 0.0037, 0.9599, 0.9681, 0.0108, 0.8692, 1.0670, OK
1500, 25, 0.0400, 3.3820, 3.3748, 0.0473, 3.1674, 3.5821, OK
10800, 180, 0.0056, 1.1444, 1.1855, 0.0030, 1.1336, 1.2374, OK
15000, 250, 0.0040, 1.0012, 1.0030, 0.0057, 0.9308, 1.0751, OK
12600, 210, 0.0048, 1.0960, 1.0823, 0.0014, 1.0470, 1.1176, OK
4800, 80, 0.0125, 1.8386, 1.7781, 0.0148, 1.6620, 1.8942, OK
1320, 22, 0.0455, 3.5576, 3.6560, 0.0426, 3.4592, 3.8528, OK
6000, 100, 0.0100, 1.6309, 1.6343, 0.0021, 1.5906, 1.6780, OK
10200, 170, 0.0059, 1.2221, 1.2080, 0.0073, 1.1266, 1.2894, OK
1200, 20, 0.0500, 3.4760, 3.5350, 0.2047, 3.1036, 3.9664, OK
1980, 33, 0.0303, 2.8416, 2.8337, 0.1763, 2.4334, 3.2339, OK
7800, 130, 0.0077, 1.3855, 1.4775, 0.0187, 1.3472, 1.6078, OK
5100, 85, 0.0118, 1.6860, 1.7174, 0.0153, 1.5995, 1.8354, OK
4200, 70, 0.0143, 1.9652, 1.9541, 0.0425, 1.7575, 2.1506, OK
8400, 140, 0.0071, 1.3668, 1.3778, 0.0162, 1.2565, 1.4990, OK
14400, 240, 0.0042, 1.0115, 1.0219, 0.0052, 0.9528, 1.0909, OK
17400, 290, 0.0034, 0.9083, 0.8695, 0.0004, 0.8498, 0.8893, 
3000, 50, 0.0200, 2.3477, 2.3625, 0.0331, 2.1890, 2.5359, OK
