Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 1.3806, 1.3585, 0.0054, 1.3045, 1.4124, OK
13800, 230, 0.0043, 1.3577, 1.3758, 0.0042, 1.3284, 1.4232, OK
4500, 75, 0.0133, 2.3385, 2.3611, 0.0379, 2.2182, 2.5040, OK
3300, 55, 0.0182, 2.6150, 2.6205, 0.0290, 2.4955, 2.7456, OK
5400, 90, 0.0111, 2.0455, 2.0755, 0.0278, 1.9530, 2.1980, OK
3900, 65, 0.0154, 2.5222, 2.5366, 0.0431, 2.3841, 2.6890, OK
9600, 160, 0.0063, 1.5446, 1.5159, 0.0306, 1.3874, 1.6444, OK
9000, 150, 0.0067, 1.6829, 1.6502, 0.0182, 1.5512, 1.7493, OK
15600, 260, 0.0038, 1.2946, 1.2844, 0.0049, 1.2330, 1.3357, OK
18000, 300, 0.0033, 1.1811, 1.1763, 0.0077, 1.1117, 1.2409, OK
2700, 45, 0.0222, 2.8951, 2.9411, 0.0133, 2.8563, 3.0259, OK
11400, 190, 0.0053, 1.3804, 1.3700, 0.0061, 1.3127, 1.4273, OK
7200, 120, 0.0083, 1.8103, 1.8150, 0.0131, 1.7308, 1.8992, OK
6600, 110, 0.0091, 1.9271, 1.9189, 0.0496, 1.7553, 2.0825, OK
16800, 280, 0.0036, 1.1947, 1.1871, 0.0030, 1.1470, 1.2272, OK
12000, 200, 0.0050, 1.3879, 1.3953, 0.0019, 1.3632, 1.4275, OK
3600, 60, 0.0167, 2.4798, 2.4257, 0.0512, 2.2596, 2.5919, OK
5700, 95, 0.0105, 2.0220, 2.0317, 0.0094, 1.9607, 2.1028, OK
2400, 40, 0.0250, 3.2388, 3.1910, 0.1719, 2.8865, 3.4955, OK
16200, 270, 0.0037, 1.2587, 1.2568, 0.0116, 1.1777, 1.3358, OK
1500, 25, 0.0400, 4.0556, 4.0312, 0.0198, 3.9279, 4.1345, OK
10800, 180, 0.0056, 1.4562, 1.4849, 0.0113, 1.4067, 1.5631, OK
15000, 250, 0.0040, 1.3109, 1.3079, 0.0119, 1.2278, 1.3881, OK
12600, 210, 0.0048, 1.4152, 1.3815, 0.0078, 1.3168, 1.4462, OK
4800, 80, 0.0125, 2.2184, 2.2144, 0.0269, 2.0939, 2.3349, OK
1320, 22, 0.0455, 4.3114, 4.2861, 0.1284, 4.0230, 4.5492, OK
6000, 100, 0.0100, 2.0004, 2.0044, 0.0049, 1.9531, 2.0556, OK
10200, 170, 0.0059, 1.5577, 1.5474, 0.0168, 1.4522, 1.6427, OK
1200, 20, 0.0500, 4.1863, 4.0747, 0.2098, 3.7383, 4.4111, OK
1980, 33, 0.0303, 3.3487, 3.4076, 0.1698, 3.1049, 3.7102, OK
7800, 130, 0.0077, 1.7246, 1.7062, 0.0525, 1.5379, 1.8745, OK
5100, 85, 0.0118, 2.0375, 2.0570, 0.0124, 1.9753, 2.1386, OK
4200, 70, 0.0143, 2.3587, 2.3457, 0.0744, 2.1454, 2.5460, OK
8400, 140, 0.0071, 1.7196, 1.7327, 0.0113, 1.6544, 1.8109, OK
14400, 240, 0.0042, 1.3178, 1.3108, 0.0034, 1.2681, 1.3535, OK
17400, 290, 0.0034, 1.1953, 1.1659, 0.0022, 1.1315, 1.2004, OK
3000, 50, 0.0200, 2.7788, 2.7946, 0.0241, 2.6805, 2.9087, OK
