Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 10.8919, 10.7361, 0.2449, 10.2643, 11.2080, OK
13800, 230, 0.0043, 11.4391, 11.3862, 1.4851, 10.2243, 12.5480, OK
4500, 75, 0.0133, 10.6743, 11.0486, 1.3963, 9.9221, 12.1752, OK
3300, 55, 0.0182, 10.7109, 10.1534, 1.6219, 8.9392, 11.3676, OK
5400, 90, 0.0111, 9.8768, 9.3291, 0.7958, 8.4786, 10.1796, OK
3900, 65, 0.0154, 10.7680, 10.7975, 5.3652, 8.5892, 13.0058, OK
9600, 160, 0.0063, 10.3780, 9.4487, 3.3989, 7.6910, 11.2064, OK
9000, 150, 0.0067, 11.0739, 10.7308, 2.8961, 9.1083, 12.3533, OK
15600, 260, 0.0038, 11.9592, 12.4979, 3.8704, 10.6222, 14.3735, OK
18000, 300, 0.0033, 10.9637, 10.4564, 1.0572, 9.4761, 11.4367, OK
2700, 45, 0.0222, 11.5491, 11.4491, 9.4058, 8.5251, 14.3730, OK
11400, 190, 0.0053, 10.1326, 10.0042, 1.4250, 8.8661, 11.1423, OK
7200, 120, 0.0083, 10.1552, 10.0038, 1.2150, 8.9529, 11.0547, OK
6600, 110, 0.0091, 10.5983, 11.3159, 3.8530, 9.4445, 13.1873, OK
16800, 280, 0.0036, 10.6712, 10.4781, 0.6221, 9.7261, 11.2300, OK
12000, 200, 0.0050, 10.5346, 10.9553, 0.1264, 10.6164, 11.2943, 
3600, 60, 0.0167, 10.0312, 9.7246, 0.3838, 9.1339, 10.3152, OK
5700, 95, 0.0105, 9.9963, 10.0979, 1.7014, 8.8543, 11.3414, OK
2400, 40, 0.0250, 13.1687, 12.9225, 3.6654, 11.0972, 14.7478, OK
16200, 270, 0.0037, 11.2547, 11.3141, 2.8777, 9.6968, 12.9315, OK
1500, 25, 0.0400, 18.8331, 18.5882, 26.6224, 13.6690, 23.5074, OK
10800, 180, 0.0056, 10.1868, 10.6547, 1.3013, 9.5671, 11.7422, OK
15000, 250, 0.0040, 11.6291, 11.0752, 1.4753, 9.9172, 12.2332, OK
12600, 210, 0.0048, 11.1626, 11.1299, 0.7020, 10.3311, 11.9288, OK
4800, 80, 0.0125, 10.0758, 9.7393, 0.6271, 8.9843, 10.4942, OK
1320, 22, 0.0455, 23.1137, 26.6159, 10.2120, 23.5693, 29.6626, 
6000, 100, 0.0100, 10.3868, 10.1757, 0.1988, 9.7507, 10.6008, OK
10200, 170, 0.0059, 11.0208, 11.0038, 1.1447, 9.9837, 12.0238, OK
1200, 20, 0.0500, 21.3687, 21.8502, 89.5284, 12.8293, 30.8712, OK
1980, 33, 0.0303, 13.1368, 13.3791, 20.4715, 9.0655, 17.6928, OK
7800, 130, 0.0077, 10.0573, 10.6179, 0.7247, 9.8063, 11.4295, OK
5100, 85, 0.0118, 9.3699, 9.3867, 0.4684, 8.7342, 10.0392, OK
4200, 70, 0.0143, 10.3937, 10.3476, 2.5522, 8.8245, 11.8707, OK
8400, 140, 0.0071, 10.9641, 10.8241, 1.5573, 9.6344, 12.0139, OK
14400, 240, 0.0042, 11.2216, 11.3131, 4.2776, 9.3412, 13.2849, OK
17400, 290, 0.0034, 11.0730, 10.4585, 0.2870, 9.9477, 10.9693, 
3000, 50, 0.0200, 10.9493, 11.2643, 4.1544, 9.3211, 13.2076, OK
