Deadline [s], Deadline [min], Reneging Rate r, MRT, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 14.1445, 13.7134, 0.2976, 13.3127, 14.1141, 
13800, 230, 0.0043, 14.9872, 15.3566, 2.7589, 14.1367, 16.5766, OK
4500, 75, 0.0133, 12.9251, 13.2043, 1.7334, 12.2373, 14.1712, OK
3300, 55, 0.0182, 12.8323, 12.9556, 4.9627, 11.3195, 14.5918, OK
5400, 90, 0.0111, 12.0442, 12.3541, 1.8132, 11.3651, 13.3431, OK
3900, 65, 0.0154, 12.9339, 12.9877, 1.6426, 12.0464, 13.9290, OK
9600, 160, 0.0063, 13.1926, 12.8779, 4.8708, 11.2569, 14.4988, OK
9000, 150, 0.0067, 14.0432, 13.7308, 1.4463, 12.8476, 14.6141, OK
15600, 260, 0.0038, 15.8491, 15.8859, 2.7809, 14.6611, 17.1106, OK
18000, 300, 0.0033, 14.5364, 14.4423, 2.4467, 13.2934, 15.5911, OK
2700, 45, 0.0222, 13.8417, 14.4639, 5.0058, 12.8207, 16.1072, OK
11400, 190, 0.0053, 13.0283, 12.6935, 1.0414, 11.9440, 13.4430, OK
7200, 120, 0.0083, 12.6200, 12.5987, 1.4710, 11.7079, 13.4895, OK
6600, 110, 0.0091, 13.1417, 13.1786, 6.3820, 11.3232, 15.0340, OK
16800, 280, 0.0036, 14.0592, 13.8840, 0.8735, 13.1976, 14.5705, OK
12000, 200, 0.0050, 13.6059, 13.8426, 0.5238, 13.3111, 14.3742, OK
3600, 60, 0.0167, 11.9706, 11.7452, 2.1261, 10.6743, 12.8161, OK
5700, 95, 0.0105, 12.2241, 12.3312, 0.5821, 11.7708, 12.8915, OK
2400, 40, 0.0250, 15.7913, 15.3840, 13.6236, 12.6731, 18.0949, OK
16200, 270, 0.0037, 14.8436, 14.7367, 4.2508, 13.2224, 16.2509, OK
1500, 25, 0.0400, 23.0830, 22.0685, 8.4559, 19.9327, 24.2042, OK
10800, 180, 0.0056, 13.0199, 13.2223, 3.2833, 11.8915, 14.5531, OK
15000, 250, 0.0040, 15.3295, 15.2968, 8.8487, 13.1121, 17.4816, OK
12600, 210, 0.0048, 14.4871, 14.0346, 2.7269, 12.8218, 15.2474, OK
4800, 80, 0.0125, 12.1905, 12.1306, 1.2423, 11.3120, 12.9492, OK
1320, 22, 0.0455, 29.1018, 29.5605, 40.4211, 24.8910, 34.2300, OK
6000, 100, 0.0100, 12.7831, 12.7986, 1.0218, 12.0562, 13.5411, OK
10200, 170, 0.0059, 14.1013, 14.3196, 3.1432, 13.0175, 15.6217, OK
1200, 20, 0.0500, 26.7419, 24.0953, 71.6239, 17.8795, 30.3110, OK
1980, 33, 0.0303, 15.6965, 16.2618, 18.6130, 13.0931, 19.4304, OK
7800, 130, 0.0077, 12.5560, 12.3757, 3.2637, 11.0488, 13.7025, OK
5100, 85, 0.0118, 11.3542, 11.4148, 0.9697, 10.6916, 12.1381, OK
4200, 70, 0.0143, 12.5511, 12.5674, 4.6242, 10.9880, 14.1467, OK
8400, 140, 0.0071, 13.8476, 14.0068, 1.6214, 13.0716, 14.9421, OK
14400, 240, 0.0042, 14.7143, 14.6032, 1.9292, 13.5831, 15.6233, OK
17400, 290, 0.0034, 14.6811, 14.1979, 1.5234, 13.2914, 15.1044, OK
3000, 50, 0.0200, 13.0364, 13.2534, 2.8851, 12.0058, 14.5009, OK
