Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 10.8919, 10.5764, 0.1468, 10.2951, 10.8578, 
13800, 230, 0.0043, 11.4391, 11.7052, 1.3683, 10.8461, 12.5643, OK
4500, 75, 0.0133, 10.6743, 10.8902, 1.1169, 10.1140, 11.6664, OK
3300, 55, 0.0182, 10.7109, 10.8005, 2.8492, 9.5608, 12.0402, OK
5400, 90, 0.0111, 9.8768, 10.1189, 1.1418, 9.3341, 10.9037, OK
3900, 65, 0.0154, 10.7680, 10.8147, 1.0738, 10.0536, 11.5758, OK
9600, 160, 0.0063, 10.3780, 10.1379, 2.8039, 8.9081, 11.3678, OK
9000, 150, 0.0067, 11.0739, 10.8303, 0.8704, 10.1451, 11.5156, OK
15600, 260, 0.0038, 11.9592, 11.9715, 1.3835, 11.1076, 12.8354, OK
18000, 300, 0.0033, 10.9637, 10.8922, 1.2727, 10.0636, 11.7208, OK
2700, 45, 0.0222, 11.5491, 12.0246, 2.5630, 10.8487, 13.2004, OK
11400, 190, 0.0053, 10.1326, 9.8947, 0.5821, 9.3343, 10.4550, OK
7200, 120, 0.0083, 10.1552, 10.1435, 0.8721, 9.4576, 10.8294, OK
6600, 110, 0.0091, 10.5983, 10.6196, 3.7484, 9.1977, 12.0416, OK
16800, 280, 0.0036, 10.6712, 10.5445, 0.4493, 10.0522, 11.0368, OK
12000, 200, 0.0050, 10.5346, 10.7034, 0.2535, 10.3336, 11.0731, OK
3600, 60, 0.0167, 10.0312, 9.8388, 1.4032, 8.9688, 10.7088, OK
5700, 95, 0.0105, 9.9963, 10.0806, 0.3501, 9.6460, 10.5151, OK
2400, 40, 0.0250, 13.1687, 12.8487, 8.4286, 10.7165, 14.9810, OK
16200, 270, 0.0037, 11.2547, 11.1773, 2.2134, 10.0846, 12.2700, OK
1500, 25, 0.0400, 18.8331, 18.0912, 4.1476, 16.5955, 19.5870, OK
10800, 180, 0.0056, 10.1868, 10.3504, 1.8021, 9.3645, 11.3364, OK
15000, 250, 0.0040, 11.6291, 11.6029, 4.3445, 10.0721, 13.1338, OK
12600, 210, 0.0048, 11.1626, 10.8252, 1.4410, 9.9435, 11.7068, OK
4800, 80, 0.0125, 10.0758, 10.0312, 0.8001, 9.3743, 10.6882, OK
1320, 22, 0.0455, 23.1137, 23.3862, 20.3538, 20.0727, 26.6997, OK
6000, 100, 0.0100, 10.3868, 10.4017, 0.5695, 9.8474, 10.9560, OK
10200, 170, 0.0059, 11.0208, 11.1648, 1.7715, 10.1872, 12.1423, OK
1200, 20, 0.0500, 21.3687, 19.4987, 39.1110, 14.9055, 24.0919, OK
1980, 33, 0.0303, 13.1368, 13.5828, 11.2594, 11.1183, 16.0473, OK
7800, 130, 0.0077, 10.0573, 9.9183, 2.0365, 8.8702, 10.9664, OK
5100, 85, 0.0118, 9.3699, 9.4249, 0.5881, 8.8616, 9.9881, OK
4200, 70, 0.0143, 10.3937, 10.3948, 2.9004, 9.1440, 11.6456, OK
8400, 140, 0.0071, 10.9641, 11.0856, 0.9065, 10.3863, 11.7848, OK
14400, 240, 0.0042, 11.2216, 11.1359, 0.9568, 10.4175, 11.8543, OK
17400, 290, 0.0034, 11.0730, 10.7229, 0.7518, 10.0861, 11.3598, OK
3000, 50, 0.0200, 10.9493, 11.1169, 1.7012, 10.1589, 12.0749, OK
