Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 3.8565, 3.7692, 0.0206, 3.6637, 3.8747, OK
13800, 230, 0.0043, 3.9148, 3.9854, 0.0775, 3.7810, 4.1898, OK
4500, 75, 0.0133, 4.9827, 5.0567, 0.1988, 4.7292, 5.3843, OK
3300, 55, 0.0182, 5.2536, 5.2772, 0.2984, 4.8761, 5.6784, OK
5400, 90, 0.0111, 4.4822, 4.5701, 0.1784, 4.2599, 4.8803, OK
3900, 65, 0.0154, 5.1947, 5.2209, 0.2057, 4.8878, 5.5540, OK
9600, 160, 0.0063, 3.9906, 3.9083, 0.3001, 3.5060, 4.3107, OK
9000, 150, 0.0067, 4.3013, 4.2117, 0.1202, 3.9571, 4.4664, OK
15600, 260, 0.0038, 3.9092, 3.8945, 0.0819, 3.6843, 4.1047, OK
18000, 300, 0.0033, 3.5759, 3.5547, 0.0970, 3.3260, 3.7834, OK
2700, 45, 0.0222, 5.7070, 5.8638, 0.1455, 5.5836, 6.1440, OK
11400, 190, 0.0053, 3.7255, 3.6691, 0.0575, 3.4930, 3.8452, OK
7200, 120, 0.0083, 4.2745, 4.2781, 0.1072, 4.0375, 4.5186, OK
6600, 110, 0.0091, 4.5032, 4.4981, 0.4365, 4.0129, 4.9834, OK
16800, 280, 0.0036, 3.5576, 3.5244, 0.0323, 3.3925, 3.6564, OK
12000, 200, 0.0050, 3.8070, 3.8475, 0.0152, 3.7570, 3.9381, OK
3600, 60, 0.0167, 4.9695, 4.8675, 0.2667, 4.4882, 5.2468, OK
5700, 95, 0.0105, 4.4845, 4.5151, 0.0507, 4.3497, 4.6805, OK
2400, 40, 0.0250, 6.4609, 6.3376, 1.2204, 5.5262, 7.1490, OK
16200, 270, 0.0037, 3.7445, 3.7266, 0.1610, 3.4319, 4.0212, OK
1500, 25, 0.0400, 8.5712, 8.3852, 0.2250, 8.0368, 8.7336, OK
10800, 180, 0.0056, 3.8362, 3.9052, 0.1530, 3.6179, 4.1925, OK
15000, 250, 0.0040, 3.8810, 3.8715, 0.2385, 3.5129, 4.2302, OK
12600, 210, 0.0048, 3.9569, 3.8514, 0.1085, 3.6095, 4.0934, OK
4800, 80, 0.0125, 4.7164, 4.7031, 0.1418, 4.4265, 4.9797, OK
1320, 22, 0.0455, 9.6492, 9.6499, 1.4681, 8.7601, 10.5398, OK
6000, 100, 0.0100, 4.5448, 4.5536, 0.0504, 4.3888, 4.7185, OK
10200, 170, 0.0059, 4.1292, 4.1428, 0.1749, 3.8357, 4.4500, OK
1200, 20, 0.0500, 9.1408, 8.6713, 3.2432, 7.3486, 9.9939, OK
1980, 33, 0.0303, 6.5516, 6.7202, 1.4576, 5.8335, 7.6069, OK
7800, 130, 0.0077, 4.1536, 4.1039, 0.3184, 3.6895, 4.5183, OK
5100, 85, 0.0118, 4.3588, 4.3929, 0.0802, 4.1849, 4.6009, OK
4200, 70, 0.0143, 4.9246, 4.9074, 0.4586, 4.4100, 5.4047, OK
8400, 140, 0.0071, 4.3274, 4.3678, 0.0917, 4.1455, 4.5902, OK
14400, 240, 0.0042, 3.8235, 3.7962, 0.0558, 3.6227, 3.9697, OK
17400, 290, 0.0034, 3.6141, 3.5148, 0.0411, 3.3659, 3.6637, OK
3000, 50, 0.0200, 5.4874, 5.5439, 0.2037, 5.2124, 5.8753, OK
